DateTime ,time,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2022-01-01,12:00:00,-0.77,10.2,-12.7,4.18,0,
2022-01-02,12:00:00,2.83,10.1,-7.5,4.11,0,
2022-01-03,12:00:00,11.38,25.8,-4.6,4.3,0,
2022-01-04,12:00:00,20.83,24.6,17.3,4.62,0.36,
2022-01-05,12:00:00,20.54,24.3,16.5,5.24,0.61,
2022-01-06,12:00:00,23.7,31.9,15.7,5.76,0.71,
2022-01-07,12:00:00,32.37,36.6,29.8,6.01,0.06,
2022-01-08,12:00:00,21.9,29.7,6.1,5.91,0.04,
2022-01-09,12:00:00,5.16,19.3,-6.9,5.83,0,
2022-01-10,12:00:00,-3.82,14.2,-14.5,5.71,0,
2022-01-11,12:00:00,-2.76,11.8,-15.5,5.85,0,
2022-01-12,12:00:00,14.49,32,0.9,5.87,0,
2022-01-13,12:00:00,7.13,18.3,-3.4,5.87,0,
2022-01-14,12:00:00,17.84,34.7,4,5.91,0,
2022-01-15,12:00:00,6.76,17.6,-5.9,5.92,0,
2022-01-16,12:00:00,10.89,30.2,1.1,5.85,0,
2022-01-17,12:00:00,7,19.3,-5,5.9,0,
2022-01-18,12:00:00,13.96,28.7,1.2,5.98,0,
2022-01-19,12:00:00,18.83,29,3.5,5.94,0,
2022-01-20,12:00:00,10.62,18.9,-2.2,6.32,0.3,
2022-01-21,12:00:00,16.91,32.5,2.6,6.17,0,
2022-01-22,12:00:00,11.75,27,0.8,6.18,0,
2022-01-23,12:00:00,3.87,22,-6,6.18,0,
2022-01-24,12:00:00,7.93,22.2,-6,6.39,0.04,
2022-01-25,12:00:00,11.13,29.6,-1.9,6.21,0,
2022-01-26,12:00:00,1.73,21.2,-10.2,6.16,0,
2022-01-27,12:00:00,2.87,21.9,-8.9,6.14,0,
2022-01-28,12:00:00,-2.97,19.8,-17.8,6.14,0,
2022-01-29,12:00:00,-2.1,21,-17.9,6.16,0,
2022-01-30,12:00:00,-0.83,24.4,-17.3,6.24,0,
2022-01-31,12:00:00,12.98,28.7,-8.4,6.49,0.02,
2022-02-01,12:00:00,5.91,18.2,-4,6.36,0,
2022-02-02,12:00:00,-3.65,15,-18.5,6.23,0,
2022-02-03,12:00:00,-2.43,12.3,-17.9,6.41,0,
2022-02-04,12:00:00,7.83,22.5,-6.8,6.44,0,
2022-02-05,12:00:00,18.06,30.1,5.4,6.5,0,
2022-02-06,12:00:00,10.53,26,-1.2,6.44,0,
2022-02-07,12:00:00,6.58,29.2,-10,6.44,0,
2022-02-08,12:00:00,14.88,36.1,-4.3,6.57,0,
2022-02-09,12:00:00,27.14,36.7,20.4,6.43,0,
2022-02-10,12:00:00,26.6,39.7,17.4,6.58,0,
2022-02-11,12:00:00,21.47,32,8.6,6.59,0,
2022-02-12,12:00:00,12.04,33.1,-2.4,6.47,0,
2022-02-13,12:00:00,11,33.8,-6,6.48,0,
2022-02-14,12:00:00,18.51,40.5,-4.2,6.65,0,
2022-02-15,12:00:00,27.81,33.4,23.1,6.64,0.03,
2022-02-16,12:00:00,21.68,27.6,14.1,6.55,0,
2022-02-17,12:00:00,18.68,29.9,7.8,6.65,0,
2022-02-18,12:00:00,24.74,36.6,12.8,6.6,0,
2022-02-19,12:00:00,22.55,39.8,2.9,6.71,0,
2022-02-20,12:00:00,32.6,37.9,25.8,6.91,0.1,
2022-02-21,12:00:00,18.25,25.8,4.5,6.93,0.03,
2022-02-22,12:00:00,3.27,13.8,-3.8,6.75,0,
2022-02-23,12:00:00,-1.38,21.5,-20.1,6.7,0,
2022-02-24,12:00:00,0.97,13.5,-14.2,6.84,0,
2022-02-25,12:00:00,2.52,18.5,-10.2,6.69,0,
2022-02-26,12:00:00,-2.61,19.7,-22.5,6.7,0,
2022-02-27,12:00:00,2.88,25.7,-16.5,6.8,0,
2022-02-28,12:00:00,25.43,44.8,0.5,6.86,0,
2022-03-01,12:00:00,38.15,47.6,29.5,7.01,0,
2022-03-02,12:00:00,36.09,52.4,23.6,7.01,0,
2022-03-03,12:00:00,34.94,52.7,21.3,7.11,0,
2022-03-04,12:00:00,30.53,44.1,17.1,7.03,0,
2022-03-05,12:00:00,28.5,33.2,19.6,7.17,0.15,
2022-03-06,12:00:00,18.24,26.5,5.8,7.21,0.01,
2022-03-07,12:00:00,9.84,26.4,-7.7,7.23,0,
2022-03-08,12:00:00,16.73,24.4,8.2,7.71,0.35,
2022-03-09,12:00:00,6.79,15.3,-9.4,7.32,0,
2022-03-10,12:00:00,-4.43,14.4,-25.5,7.28,0,
2022-03-11,12:00:00,11.08,27.2,-5.2,7.54,0,
2022-03-12,12:00:00,29.04,41.1,17.8,7.53,0,
2022-03-13,12:00:00,28.3,33.4,22.3,7.68,0.21,
2022-03-14,12:00:00,23.08,39.6,5.2,7.79,0,
2022-03-15,12:00:00,26.89,42.1,13.3,7.81,0.02,
2022-03-16,12:00:00,29.84,35.3,18.7,8,0.15,
2022-03-17,12:00:00,19.24,38.3,1.5,8.01,0,
2022-03-18,12:00:00,22.78,38.7,7.1,8.11,0.02,
2022-03-19,12:00:00,31.11,47,16.6,8.21,0,
2022-03-20,12:00:00,30.72,35,21.6,8.35,0.19,
2022-03-21,12:00:00,19.32,35.2,2.6,8.3,0,
2022-03-22,12:00:00,27.06,39.6,15.8,8.52,0,
2022-03-23,12:00:00,28.18,49.2,10.2,8.39,0,
2022-03-24,12:00:00,35.56,50.7,20.8,8.22,0,
2022-03-25,12:00:00,37.41,52.3,22.2,8.14,0,
2022-03-26,12:00:00,40.06,57.2,26.5,7.91,0,
2022-03-27,12:00:00,37.69,58.1,21.3,7.61,0,
2022-03-28,12:00:00,41.02,56.9,26.9,7.48,0,
2022-03-29,12:00:00,37.51,44.5,27.6,7.18,0,
2022-03-30,12:00:00,30.57,47.9,16.3,6.88,0,
2022-03-31,12:00:00,29.94,38.7,22.2,6.87,0.02,
2022-04-01,12:00:00,30.83,40.5,20.7,6.66,0,
2022-04-02,12:00:00,32.26,46.7,17,6.45,0,
2022-04-03,12:00:00,32.71,49.3,20.4,6.27,0,
2022-04-04,12:00:00,30.88,39.5,20.2,6.74,0.35,
2022-04-05,12:00:00,25.12,35.4,19.3,6.8,0.18,
2022-04-06,12:00:00,23.68,36.2,8.3,6.78,0,
2022-04-07,12:00:00,27.99,48.8,8.6,6.67,0,
2022-04-08,12:00:00,36.64,57.7,16.2,6.47,0,
2022-04-09,12:00:00,35.58,47.5,23.4,6.43,0.16,
2022-04-10,12:00:00,21.72,26.1,16.2,6.58,0.22,
2022-04-11,12:00:00,24.67,31.6,18.5,6.97,0.4,
2022-04-12,12:00:00,18.36,24.1,11.2,7,0.12,
2022-04-13,12:00:00,12,26.2,-4.9,7.29,0,
2022-04-14,12:00:00,21.86,28.9,12.1,7.65,0.4,
2022-04-15,12:00:00,28.23,32.1,25.9,7.66,0.03,
2022-04-16,12:00:00,29.71,45.8,18.6,7.92,0.35,
2022-04-17,12:00:00,28.88,33.2,22.9,8.06,0.04,
2022-04-18,12:00:00,36.26,53.5,21.3,7.9,0,
2022-04-19,12:00:00,33.36,43.2,27.8,7.96,0.09,
2022-04-20,12:00:00,34.29,44.6,28.1,7.95,0,
2022-04-21,12:00:00,36.71,52,25.4,7.62,0,
2022-04-22,12:00:00,35.93,42.2,30.1,7.24,0.06,
2022-04-23,12:00:00,32.63,39.4,28.5,6.98,0.03,
2022-04-24,12:00:00,33.57,43.5,26.7,6.87,0,
2022-04-25,12:00:00,33.11,49.3,18.7,6.27,0,
2022-04-26,12:00:00,36.94,54.1,21.7,5.61,0,
2022-04-27,12:00:00,35.15,49.7,24.2,5.11,0.13,
2022-04-28,12:00:00,32.5,38.8,26.6,5.2,0.31,
2022-04-29,12:00:00,33.16,39.4,29.6,4.92,0.02,
2022-04-30,12:00:00,36.12,49.1,26.4,4.17,0,
2022-05-01,12:00:00,39.11,53.2,32.4,3.61,0.5,
2022-05-02,12:00:00,38.77,53.5,32.2,2.68,0,
2022-05-03,12:00:00,33.17,36.7,29.8,2.8,0.34,
2022-05-04,12:00:00,41.36,52.6,30.9,1.87,0.01,
2022-05-05,12:00:00,43.39,59.5,26.8,0.71,0,
2022-05-06,12:00:00,47.01,54.1,38.4,-0.12,0.06,
2022-05-07,12:00:00,42.43,48.5,35.7,-0.27,0,
2022-05-08,12:00:00,34.21,40.5,28.4,-0.28,0.11,
2022-05-09,12:00:00,27.1,32.2,22.2,-0.28,0.05,
2022-05-10,12:00:00,30.25,44.1,18,-0.26,0,
2022-05-11,12:00:00,37.81,55.9,21.5,-0.28,0,
2022-05-12,12:00:00,37.81,43.5,33.1,-0.3,0.09,
2022-05-13,12:00:00,40.6,48.6,32,-0.26,0.1,
2022-05-14,12:00:00,43.09,50.4,36.8,-0.26,0.12,
2022-05-15,12:00:00,46.89,68,30.1,-0.36,0,
2022-05-16,12:00:00,51.27,69.4,35.2,-0.36,0,
2022-05-17,12:00:00,49.52,63.6,36,-0.24,0,
2022-05-18,12:00:00,47.28,62,29.1,-0.38,0,
2022-05-19,12:00:00,40.37,54.6,26.7,-0.3,0.09,
2022-05-20,12:00:00,34.09,43.3,24.9,-0.19,0,
2022-05-21,12:00:00,34.07,46.1,20.7,-0.31,0,
2022-05-22,12:00:00,36.62,48.8,27.5,0.09,0.42,
2022-05-23,12:00:00,39.12,52.3,26.8,-0.17,0.01,
2022-05-24,12:00:00,39.03,51,28.9,-0.2,0,
2022-05-25,12:00:00,45.67,63.4,28.2,-0.34,0,
2022-05-26,12:00:00,51.62,72.7,30.9,-0.33,0.03,
2022-05-27,12:00:00,54.21,65.9,43.4,-0.32,0.02,
2022-05-28,12:00:00,45.33,51.6,41.1,-0.35,0.63,
2022-05-29,12:00:00,37.98,44,34.1,-0.3,0.21,
2022-05-30,12:00:00,36.65,41.9,32.4,-0.22,0.4,
2022-05-31,12:00:00,40.1,49,34.4,-0.3,0.07,
2022-06-01,12:00:00,45.13,59.3,33.3,-0.22,0,
2022-06-02,12:00:00,48.69,65.7,31.8,-0.38,0,
2022-06-03,12:00:00,54.28,67.4,39.4,-0.34,0.01,
2022-06-04,12:00:00,49.47,64.4,37.5,-0.34,0.07,
2022-06-05,12:00:00,48.38,58.7,40.4,-0.33,0.13,
2022-06-06,12:00:00,48.69,58.2,40.6,-0.37,0.12,
2022-06-07,12:00:00,47.12,59.5,33.4,-0.35,0,
2022-06-08,12:00:00,49.76,65.4,31.9,-0.39,0,
2022-06-09,12:00:00,55.71,69.2,40.4,-0.34,0,
2022-06-10,12:00:00,58.31,72.7,39.5,-0.49,0,
2022-06-11,12:00:00,60,71.3,44.4,-0.45,0,
2022-06-12,12:00:00,53.84,63.1,49.9,-0.35,0.27,
2022-06-13,12:00:00,45.6,51.8,37,-0.33,0.4,
2022-06-14,12:00:00,38.74,46.1,31.6,-0.35,0.01,
2022-06-15,12:00:00,45.17,60.2,31.9,-0.37,0,
2022-06-16,12:00:00,54.99,79.4,31.1,-0.4,0,
2022-06-17,12:00:00,61.13,83.4,39.4,-0.48,0,
2022-06-18,12:00:00,62.84,75.2,50.5,-0.42,0.15,
2022-06-19,12:00:00,48.02,55.2,40.1,-0.36,0.58,
2022-06-20,12:00:00,41.44,50.9,33.8,-0.21,0.06,
2022-06-21,12:00:00,48,66.5,32.6,-0.36,0,
2022-06-22,12:00:00,53.39,72.9,34,-0.39,0,
2022-06-23,12:00:00,57.46,73.8,38.5,-0.46,0,
2022-06-24,12:00:00,58.11,69,45.7,-0.43,0.01,
2022-06-25,12:00:00,52.36,69.5,35.1,-0.35,0,
2022-06-26,12:00:00,55.44,74.7,36.4,-0.38,0,
2022-06-27,12:00:00,58.02,78,37.6,-0.44,0,
2022-06-28,12:00:00,59.92,78.5,40.8,-0.43,0.01,
2022-06-29,12:00:00,60.89,72.3,45.3,-0.41,0,
2022-06-30,12:00:00,57.68,74.4,37.2,-0.4,0,
2022-07-01,12:00:00,57.63,78.4,39.8,-0.33,0.07,
2022-07-02,12:00:00,57.65,78,41.1,-0.25,0.02,
2022-07-03,12:00:00,62.74,79.6,45.9,-0.42,0,
2022-07-04,12:00:00,61.41,76.6,44.2,-0.41,0,
2022-07-05,12:00:00,60.04,79,38.8,-0.42,0,
2022-07-06,12:00:00,62.38,80.7,42.7,-0.42,0,
2022-07-07,12:00:00,64.31,80.8,46.7,-0.42,0.02,
2022-07-08,12:00:00,64.6,84.5,43.2,-0.41,0,
2022-07-09,12:00:00,65.45,85.6,42.8,-0.43,0,
2022-07-10,12:00:00,62.96,77.7,43.2,-0.41,0,
2022-07-11,12:00:00,62.52,80.3,42.8,-0.42,0,
2022-07-12,12:00:00,64.32,84.1,43.3,-0.43,0,
2022-07-13,12:00:00,61.04,84.5,43.7,-0.41,0.11,
2022-07-14,12:00:00,62.73,82.3,48.5,-0.43,0.04,
2022-07-15,12:00:00,63.65,81.1,49.7,-0.44,0,
2022-07-16,12:00:00,64.71,83.9,47.1,-0.45,0,
2022-07-17,12:00:00,66.78,87.5,44.5,-0.48,0,
2022-07-18,12:00:00,68.24,79.7,54.1,-0.43,0,
2022-07-19,12:00:00,62.14,79.2,40.1,-0.36,0,
2022-07-20,12:00:00,62.57,82,41.3,-0.42,0,
2022-07-21,12:00:00,64.6,82.5,44.8,-0.44,0,
