DateTime ,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2022-01-01,-0.77,10.2,-12.7,4.18,0,
2022-01-02,2.83,10.1,-7.5,4.11,0,
2022-01-03,11.38,25.8,-4.6,4.3,0,
2022-01-04,20.83,24.6,17.3,4.62,0.36,
2022-01-05,20.54,24.3,16.5,5.24,0.61,
2022-01-06,23.7,31.9,15.7,5.76,0.71,
2022-01-07,32.37,36.6,29.8,6.01,0.06,
2022-01-08,21.9,29.7,6.1,5.91,0.04,
2022-01-09,5.16,19.3,-6.9,5.83,0,
2022-01-10,-3.82,14.2,-14.5,5.71,0,
2022-01-11,-2.76,11.8,-15.5,5.85,0,
2022-01-12,14.49,32,0.9,5.87,0,
2022-01-13,7.13,18.3,-3.4,5.87,0,
2022-01-14,17.84,34.7,4,5.91,0,
2022-01-15,6.76,17.6,-5.9,5.92,0,
2022-01-16,10.89,30.2,1.1,5.85,0,
2022-01-17,7,19.3,-5,5.9,0,
2022-01-18,13.96,28.7,1.2,5.98,0,
2022-01-19,18.83,29,3.5,5.94,0,
2022-01-20,10.62,18.9,-2.2,6.32,0.3,
2022-01-21,16.91,32.5,2.6,6.17,0,
2022-01-22,11.75,27,0.8,6.18,0,
2022-01-23,3.87,22,-6,6.18,0,
2022-01-24,7.93,22.2,-6,6.39,0.04,
2022-01-25,11.13,29.6,-1.9,6.21,0,
2022-01-26,1.73,21.2,-10.2,6.16,0,
2022-01-27,2.87,21.9,-8.9,6.14,0,
2022-01-28,-2.97,19.8,-17.8,6.14,0,
2022-01-29,-2.1,21,-17.9,6.16,0,
2022-01-30,-0.83,24.4,-17.3,6.24,0,
2022-01-31,12.98,28.7,-8.4,6.49,0.02,
2022-02-01,5.91,18.2,-4,6.36,0,
2022-02-02,-3.65,15,-18.5,6.23,0,
2022-02-03,-2.43,12.3,-17.9,6.41,0,
2022-02-04,7.83,22.5,-6.8,6.44,0,
2022-02-05,18.06,30.1,5.4,6.5,0,
2022-02-06,10.53,26,-1.2,6.44,0,
2022-02-07,6.58,29.2,-10,6.44,0,
2022-02-08,14.88,36.1,-4.3,6.57,0,
2022-02-09,27.14,36.7,20.4,6.43,0,
2022-02-10,26.6,39.7,17.4,6.58,0,
2022-02-11,21.47,32,8.6,6.59,0,
2022-02-12,12.04,33.1,-2.4,6.47,0,
2022-02-13,11,33.8,-6,6.48,0,
2022-02-14,18.51,40.5,-4.2,6.65,0,
2022-02-15,27.81,33.4,23.1,6.64,0.03,
2022-02-16,21.68,27.6,14.1,6.55,0,
2022-02-17,18.68,29.9,7.8,6.65,0,
2022-02-18,24.74,36.6,12.8,6.6,0,
2022-02-19,22.55,39.8,2.9,6.71,0,
2022-02-20,32.6,37.9,25.8,6.91,0.1,
2022-02-21,18.25,25.8,4.5,6.93,0.03,
2022-02-22,3.27,13.8,-3.8,6.75,0,
2022-02-23,-1.38,21.5,-20.1,6.7,0,
2022-02-24,0.97,13.5,-14.2,6.84,0,
2022-02-25,2.52,18.5,-10.2,6.69,0,
2022-02-26,-2.61,19.7,-22.5,6.7,0,
2022-02-27,2.88,25.7,-16.5,6.8,0,
2022-02-28,25.43,44.8,0.5,6.86,0,
2022-03-01,38.15,47.6,29.5,7.01,0,
2022-03-02,36.09,52.4,23.6,7.01,0,
2022-03-03,34.94,52.7,21.3,7.11,0,
