 DateTime ,jck_qu ,jck_fb ,jck_af ,jck_qd
2022-05-01,1222.89,6740.06,183710,1720
2022-05-02,1320.2,6740.02,182917,1720
2022-05-03,1409.01,6739.99,182320,1710
2022-05-04,1220.45,6739.94,181349,1710
2022-05-05,1402.54,6739.91,180759,1700
2022-05-06,2597.84,6740,182520,1710
2022-05-07,3217.38,6740.15,185490,1720
2022-05-08,2529.61,6740.23,187076,1730
2022-05-09,2027.46,6740.26,187666,1730
2022-05-10,1529.85,6740.24,187269,1730
2022-05-11,1530.35,6740.22,186873,1730
2022-05-12,1432.54,6740.19,186283,1730
2022-05-13,1827.3,6740.2,186476,1730
2022-05-14,1632.7,6740.19,186283,1730
2022-05-15,1627.65,6740.18,186080,1730
2022-05-16,2741.95,6740.27,187869,1840
2022-05-17,3757.03,6740.44,191235,2060
2022-05-18,5436.75,6740.77,197774,2140
2022-05-19,5085.51,6741.06,203537,2180
2022-05-20,3625.2,6741.2,206344,2210
2022-05-21,2828.53,6741.26,207551,2220
2022-05-22,2932.89,6741.33,208965,2220
2022-05-23,2427.63,6741.35,209357,2230
2022-05-24,2952.39,6741.42,210770,2240
2022-05-25,3065.18,6741.47,211772,2560
2022-05-26,4595.88,6741.6,214382,3280
2022-05-27,6579.29,6741.89,220212,3640
2022-05-28,9875.37,6742.49,232421,3720
2022-05-29,8224.06,6742.92,241196,3800
2022-05-30,5498.21,6743.08,244485,3840
2022-05-31,4257.51,6743.15,245928,3530
2022-06-01,3801.85,6743.27,248411,2550
2022-06-02,3944.26,6743.43,251712,2280
2022-06-03,4676.31,6743.66,256465,2280
2022-06-04,5511.21,6743.97,262874,2280
2022-06-05,6932.87,6744.41,272083,2290
2022-06-06,7276.55,6744.88,281934,2310
2022-06-07,6580.21,6745.28,290384,2320
2022-06-08,5551.04,6745.58,296753,2340
2022-06-09,5436.59,6745.87,302895,2340
2022-06-10,6438.88,6746.25,311025,2340
2022-06-11,6998.92,6746.68,320246,2350
2022-06-12,8351.94,6747.23,332111,2370
2022-06-13,11065.46,6748.02,349259,2420
2022-06-14,6861.54,6748.42,358029,2440
2022-06-15,4517.75,6748.62,362408,2310
2022-06-16,4011.14,6748.78,365921,2240
2022-06-17,4571.18,6748.99,370525,2250
2022-06-18,5507.76,6749.28,376947,2270
2022-06-19,5539.27,6749.57,383372,2300
2022-06-20,4778.82,6749.79,388249,2320
2022-06-21,3780.49,6749.92,391126,2330
2022-06-22,3344.3,6750.01,393118,2340
2022-06-23,3468.83,6750.11,395357,2340
2022-06-24,3623.69,6750.23,398042,2270
2022-06-25,3318.83,6750.33,400281,2190
2022-06-26,2977,6750.4,401842,2190
2022-06-27,2761.14,6750.45,402955,2200
2022-06-28,2661.73,6750.49,403851,2210
2022-06-29,3002.55,6750.56,405423,2210
2022-06-30,2435.87,6750.58,405871,2210
2022-07-01,2319.91,6750.59,406089,2210
